SOM Class,FBGN,NAME,SYMBOL,Day9.Day2_FoldChange,Day9.Day2_P.Value,Day9.Day2_adj.P.Val,Day9.Day2_Flag,Day16_FoldChange,Day16_P.Value,Day16_adj.P.Val,Day16_Flag,Day23_FoldChange,Day23_P.Value,Day23_adj.P.Val,Day23_Flag,Day30_FoldChange,Day30_P.Value,Day30_adj.P.Val,Day30_Flag,Day37_FoldChange,Day37_P.Value,Day37_adj.P.Val,Day37_Flag,Day44_FoldChange,Day44_P.Value,Day44_adj.P.Val,Day44_Flag,Day51_FoldChange,Day51_P.Value,Day51_adj.P.Val,Day51_Flag,Day58_FoldChange,Day58_P.Value,Day58_adj.P.Val,Day58_Flag,Day65_FoldChange,Day65_P.Value,Day65_adj.P.Val,Day65_Flag,Day72_FoldChange,Day72_P.Value,Day72_adj.P.Val,Day72_Flag,Day79_FoldChange,Day79_P.Value,Day79_adj.P.Val,Day79_Flag,SOM Class
0,FBgn0038181,CG9297,CG9297,-1.59,0,0.00038,1,-2.21,0,0,1,-2.6,0,0,1,-2.98,0,0,1,-2.85,0,0,1,-3.49,0,0,1,-3.33,0,0,1,-3.56,0,0,1,-3.67,0,0,1,-3.54,0,0,1,-3.8,0,0,1,0
0,FBgn0040074,retinin,retinin,-2.16,7.00E-06,0.028564,1,-3.01,0,5.00E-06,1,-4.3,0,0,1,-5.4,0,0,1,-5.18,0,0,1,-5.05,0,0,1,-4.25,0,0,1,-5.28,0,0,1,-6.67,0,0,1,-7.02,0,0,1,-6.45,0,0,1,0
0,FBgn0035817,CG7409,CG7409,-1.75,0.003053,0.624502,0,-2.5,5.00E-06,0.002749,1,-2.87,0,8.80E-05,1,-3.02,0,2.00E-05,1,-3.21,0,4.00E-06,1,-3.01,0,8.00E-06,1,-2.77,1.00E-06,3.80E-05,1,-2.93,0,1.20E-05,1,-3.12,0,3.00E-06,1,-3.56,0,0,1,-2.91,0,1.10E-05,1,0
0,FBgn0002565,Larval serum protein 2,Lsp2,-1.23,0.21713,0.999395,0,-2.51,1.00E-06,0.000748,1,-2.77,0,3.10E-05,1,-2.37,2.00E-06,0.000256,1,-2.81,0,6.00E-06,1,-2.34,3.00E-06,0.00014,1,-2.25,7.00E-06,0.000323,1,-3.1,0,1.00E-06,1,-3.45,0,0,1,-3.67,0,0,1,-3.55,0,0,1,0
0,FBgn0042201,Neuropeptide-like precursor 3,Nplp3,-1.91,0.00058,0.387218,0,-2.25,2.70E-05,0.01058,1,-2.96,0,3.90E-05,1,-3.54,0,1.00E-06,1,-3.73,0,0,1,-3.92,0,0,1,-4.18,0,0,1,-4.17,0,0,1,-5.08,0,0,1,-4.79,0,0,1,-4.67,0,0,1,0
0,FBgn0030829,CG12998,CG12998,-2.24,0.000619,0.387218,0,-2.53,0.000107,0.030326,1,-3.56,3.00E-06,0.000505,1,-4.11,0,1.10E-05,1,-3.4,6.00E-06,0.000344,1,-4.52,0,7.00E-06,1,-3.47,1.00E-06,4.70E-05,1,-3.71,2.00E-06,7.70E-05,1,-4.51,0,6.00E-06,1,-4.93,0,1.00E-06,1,-4.75,0,0,1,0
1,FBgn0003149,Paramyosin,Prm,-1.19,0.049804,0.999395,0,-1.91,0,2.00E-06,1,-2,0,0,1,-1.95,0,0,1,-1.97,0,0,1,-2.19,0,0,1,-2.14,0,0,1,-2.23,0,0,1,-2.06,0,0,1,-1.96,0,0,1,-1.98,0,0,1,1
1,FBgn0004435,G protein alpha49B,Galpha49B,-1.18,0.058751,0.999395,0,-1.61,1.00E-06,0.000748,1,-1.94,0,0,1,-1.76,0,4.00E-06,1,-1.86,0,0,1,-1.66,0,1.50E-05,1,-1.58,1.00E-05,0.000431,1,-1.65,0,1.90E-05,1,-2.23,0,0,1,-2.45,0,0,1,-2.06,0,0,1,1
1,FBgn0002741,Myosin Heavy Chain,Mhc,-1.19,0.063303,0.999395,0,-1.73,0,0.000306,1,-1.72,0,6.80E-05,1,-1.67,1.00E-06,0.000112,1,-1.69,0,4.30E-05,1,-2.38,0,0,1,-2.31,0,0,1,-2.1,0,0,1,-2.16,0,0,1,-2.01,0,0,1,-2.15,0,0,1,1
1,FBgn0014863,Muscle LIM protein at 84B,Mlp84B,-1.26,0.001061,0.472058,0,-1.74,0,0,1,-1.81,0,0,1,-1.95,0,0,1,-1.84,0,0,1,-2.06,0,0,1,-2.09,0,0,1,-2.09,0,0,1,-2.19,0,0,1,-2.09,0,0,1,-2.2,0,0,1,1
